Designator,Val,Package,MidX,Midy,Rotation,Layer
"C1","10u","C_0805_2012Metric",140.270000,-67.220000,-90.000000,bottom
"C2","22pf","C_0805_2012Metric",151.140000,-139.520000,45.000000,bottom
"C3","22pf","C_0805_2012Metric",146.660000,-135.040000,45.000000,bottom
"C4","10u","C_0805_2012Metric",134.630000,-67.220000,-90.000000,bottom
"C5","100n","C_0805_2012Metric",185.510000,-124.750000,-90.000000,bottom
"C6","100n","C_0805_2012Metric",191.050000,-117.230000,180.000000,bottom
"C7","100n","C_0805_2012Metric",191.050000,-119.240000,180.000000,bottom
"C8","1u","C_0805_2012Metric",153.900000,-121.720000,0.000000,bottom
"C9","100n","C_0805_2012Metric",122.410000,-67.220000,-90.000000,bottom
"C10","1u","C_0805_2012Metric",146.180000,-122.870000,180.000000,bottom
"C11","100n","C_0805_2012Metric",124.460000,-67.220000,-90.000000,bottom
"C12","100n","C_0805_2012Metric",126.490000,-67.220000,-90.000000,bottom
"C13","100n","C_0805_2012Metric",128.520000,-67.220000,-90.000000,bottom
"C14","100n","C_0805_2012Metric",130.560000,-67.220000,-90.000000,bottom
"C15","100n","C_0805_2012Metric",21.720000,-93.170000,-95.000000,bottom
"C16","100n","C_0805_2012Metric",23.367202,-74.186385,-95.000000,bottom
"C17","10u","C_0805_2012Metric",132.620000,-67.220000,-90.000000,bottom
"C18","100n","C_0805_2012Metric",278.510000,-93.170000,-85.000000,bottom
"C19","100n","C_0805_2012Metric",276.840000,-74.190000,-85.000000,bottom
"D1","BAV70","SOT-23",86.020000,-106.990000,90.000000,bottom
"D2","BAV70","SOT-23",82.440000,-106.990000,90.000000,bottom
"D3","BAV70","SOT-23",78.870000,-106.990000,90.000000,bottom
"D4","BAV70","SOT-23",159.620000,-83.840000,-135.000000,bottom
"D5","BAV70","SOT-23",217.770000,-106.990000,90.000000,bottom
"D6","BAV70","SOT-23",214.210000,-106.990000,90.000000,bottom
"D7","BAV70","SOT-23",210.650000,-106.990000,90.000000,bottom
"D8","BAV70","SOT-23",89.590000,-106.990000,90.000000,bottom
"D9","BAV70","SOT-23",93.160000,-106.990000,90.000000,bottom
"D10","BAV70","SOT-23",96.730000,-106.990000,90.000000,bottom
"D11","BAV70","SOT-23",140.600000,-83.840000,-45.000000,bottom
"D12","BAV70","SOT-23",199.910000,-106.990000,90.000000,bottom
"D13","BAV70","SOT-23",203.490000,-106.990000,90.000000,bottom
"D14","BAV70","SOT-23",207.090000,-106.990000,90.000000,bottom
"D15","BAV70","SOT-23",107.490000,-106.990000,90.000000,bottom
"D16","BAV70","SOT-23",111.080000,-106.990000,90.000000,bottom
"D17","BAV70","SOT-23",100.310000,-106.990000,90.000000,bottom
"D18","BAV70","SOT-23",140.600000,-88.790000,45.000000,bottom
"D19","BAV70","SOT-23",189.160000,-106.990000,90.000000,bottom
"D20","BAV70","SOT-23",192.720000,-106.990000,90.000000,bottom
"D21","BAV70","SOT-23",196.300000,-106.990000,90.000000,bottom
"D22","BAV70","SOT-23",101.200000,-118.190000,-110.000000,bottom
"D23","BAV70","SOT-23",97.830000,-116.960000,-110.000000,bottom
"D24","BAV70","SOT-23",103.900000,-106.990000,90.000000,bottom
"D25","BAV70","SOT-23",159.620000,-88.790000,-45.000000,bottom
"D26","BAV70","SOT-23",221.330000,-106.990000,90.000000,bottom
"D27","BAV70","SOT-23",202.380000,-116.980000,-70.000000,bottom
"D28","BAV70","SOT-23",199.040000,-118.190000,-70.000000,bottom
"F0","polyfuse","Fuse_1206_3216Metric",141.861579,-57.720569,-90.000000,bottom
"J0","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",150.101579,-49.811579,0.000000,bottom
"J1","BREAKOUT","PinSocket_1x05_P2.54mm_Vertical",103.294925,-122.882723,160.000000,bottom
"J4","Breakout 1.1v","PinHeader_1x02_P2.54mm_Vertical",194.580000,-120.585000,0.000000,bottom
"JST_connector2","Conn_01x04_Female","Aio3_jst",159.639000,-67.995800,180.000000,bottom
"K1","KEYSW","SW_MX_HS_1u_NOREF",31.516511,-50.442574,-5.000000,bottom
"K2","KEYSW","SW_MX_HS_1u_NOREF",50.494020,-52.102891,-5.000000,bottom
"K3","KEYSW","SW_MX_HS_1u_NOREF",69.471529,-53.763208,-5.000000,bottom
"K4","KEYSW","SW_MX_HS_1u_NOREF",88.449038,-55.423525,-5.000000,bottom
"K5","KEYSW","SW_MX_HS_1u_NOREF",107.426547,-57.083842,-5.000000,bottom
"K6","KEYSW","SW_MX_HS_1u_NOREF",131.060000,-57.720569,0.000000,bottom
"K7","KEYSW","SW_MX_HS_1u_NOREF",150.110000,-57.720569,0.000000,bottom
"K8","KEYSW","SW_MX_HS_1u_NOREF",169.160000,-57.720569,0.000000,bottom
"K9","KEYSW","SW_MX_HS_1u_NOREF",192.771579,-57.083842,5.000000,bottom
"K10","KEYSW","SW_MX_HS_1u_NOREF",211.770962,-55.423525,5.000000,bottom
"K11","KEYSW","SW_MX_HS_1u_NOREF",230.748471,-53.763208,5.000000,bottom
"K12","KEYSW","SW_MX_HS_1u_NOREF",249.725980,-52.102891,5.000000,bottom
"K13","KEYSW","SW_MX_HS_1u_NOREF",268.703489,-50.442574,5.000000,bottom
"K14","KEYSW","SW_MX_HS_1u_NOREF",29.856194,-69.420083,175.000000,bottom
